material_id,formula,density
mp-780192,Li5FeO4,2.505205942552939
mp-780207,Li5FeO4,2.483619974141825
mp-1177943,Li2FeO2,3.630131281692282
mp-1282942,Li3FeO4,3.353365657521499
mp-752790,LiFeO3,3.397188264440883
mp-761189,LiFeO3,3.814901010366745
mp-849695,Li2FeO3,3.8170172642799622
mp-887724,Li2FeO3,3.856510067137291
mp-1222302,LiFeO2,4.358311318050378
mp-771894,Li3FeO3,2.878819297279266
mp-756155,Li6FeO4,2.566593651994418
mp-754360,Li3FeO4,3.318163115709486
mp-1272755,Li2FeO2,3.6609738948454
mp-770834,Li5FeO4,2.521236698652839
mp-770885,Li3FeO3,2.779202037913432
mp-770923,Li5FeO4,2.480479975072747
mp-18782,LiFeO2,4.231705396072065
mp-752471,Li7FeO6,2.675156325612842
mp-771897,Li6FeO6,2.569928893825192
mp-752521,LiFeO3,3.59969868515039
mp-754868,Li2FeO2,3.651644071239277
mp-19419,LiFeO2,4.360258792620332
mp-754977,LiFeO2,4.072462084548668
mp-1303136,Li2FeO3,3.86427874612938
mp-755232,Li4FeO4,2.710239312763402
mp-756356,Li8FeO6,2.678451850488135
mp-756497,LiFeO2,4.143655143141868
mp-849528,Li3FeO4,3.619973631162249
mp-1185320,LiFeO3,3.414350063209818
mp-755709,LiFeO2,4.363244694031661
mp-1665973,Li3FeO3,2.807636768947056
mp-763305,Li8FeO6,2.3345895064414472
mp-764163,Li3FeO4,3.334652401469189
mp-1279318,Li3FeO4,3.233876753584196
mp-774155,Li2FeO3,3.628809133145505
mp-756941,LiFeO3,3.7191246250960743
mp-759394,Li2FeO3,3.651900678661024
mp-779333,Li5FeO4,2.580157802614603
mp-757614,LiFeO2,4.365992908017233
mp-19511,Li5FeO4,2.730172537136709
mp-779889,Li5FeO4,2.4975001643461683
mp-850511,LiFeO2,3.293027430454743
mp-770886,Li3FeO3,2.826400220707882
mp-1211341,Li3FeO6,0.18116760640113902
mp-1663732,Li3FeO3,2.852443970786058
mp-760335,Li3FeO4,3.361833400040883
mp-1276702,Li3FeO4,3.348351615434176
mp-755094,Li2FeO2,3.149715646042533
mp-756527,LiFeO2,4.259454579832647
mp-760833,LiFeO3,3.483427483304907
mp-752680,Li4FeO3,2.595602385919894
mp-1178108,Li(FeO2)2,4.113029286835969
mp-1272244,Li3(FeO3)2,3.5791947162461293
mp-1282759,LiFe2O3,4.582189524663026
mp-753008,Li13(FeO6)2,2.631704291621671
mp-758099,Li15(FeO6)2,2.643281855220929
mp-773043,Li(FeO2)2,4.217493638957693
mp-780203,Li9(FeO4)2,2.5112203153404753
mp-1286090,Li3(FeO3)2,3.601816154580816
mp-1298536,LiFe2O3,4.630080918116578
mp-1309364,LiFe2O3,4.625861493905391
mp-752654,Li3(FeO3)2,3.576018098305774
mp-760830,Li4Fe2O5,3.0637953734716232
mp-770893,Li4Fe2O5,3.06562855099837
mp-779474,Li8Fe2O7,2.660156122753218
mp-1178122,Li(FeO2)2,4.058398988664548
mp-1177753,Li3(FeO3)2,3.596988531334763
mp-752935,Li(FeO2)2,3.902885667565672
mp-760809,Li3(FeO3)2,3.522335069744901
mp-754803,Li(FeO2)2,4.082623723551041
mp-756381,LiFe2O3,4.681856287598231
mp-771057,Li(FeO2)2,4.533795145152002
mp-1178103,Li(FeO2)2,4.000334394028769
mp-1305099,Li3(FeO3)2,3.585399816495386
mp-753133,Li3(FeO3)2,3.488668104377516
mp-772983,Li8Fe2O9,3.030786929489193
mp-25386,Li(FeO2)2,4.020542625832713
mp-755242,Li3(FeO3)2,3.694218055733736
mp-771571,Li(FeO2)2,4.289968358399015
